Category,Sound,URL
emergency,emergency siren short burst,https://actions.google.com/sounds/v1/emergency/emergency_siren_short_burst.ogg
emergency,fire department dispatch pager,https://actions.google.com/sounds/v1/emergency/fire_department_dispatch_pager.ogg
emergency,fuse ignite and burn,https://actions.google.com/sounds/v1/emergency/fuse_ignite_and_burn.ogg
foley,aluminum can open,https://actions.google.com/sounds/v1/foley/aluminum_can_open.ogg
foley,arm movement on desk,https://actions.google.com/sounds/v1/foley/arm_movement_on_desk.ogg
foley,bare feet scuff wood,https://actions.google.com/sounds/v1/foley/bare_feet_scuff_wood.ogg
foley,bare feet walk,https://actions.google.com/sounds/v1/foley/bare_feet_walk.ogg
foley,bare feet walk on wood,https://actions.google.com/sounds/v1/foley/bare_feet_walk_on_wood.ogg
foley,battle ground movement,https://actions.google.com/sounds/v1/foley/battle_ground_movement.ogg
foley,battle movement pass by,https://actions.google.com/sounds/v1/foley/battle_movement_pass_by.ogg
foley,body in car,https://actions.google.com/sounds/v1/foley/body_in_car.ogg
foley,bottle cap open,https://actions.google.com/sounds/v1/foley/bottle_cap_open.ogg
foley,bottle cork,https://actions.google.com/sounds/v1/foley/bottle_cork.ogg
foley,bottles clanking,https://actions.google.com/sounds/v1/foley/bottles_clanking.ogg
foley,branch and leaves,https://actions.google.com/sounds/v1/foley/branch_and_leaves.ogg
foley,buckle,https://actions.google.com/sounds/v1/foley/buckle.ogg
foley,cap covering uncovering,https://actions.google.com/sounds/v1/foley/cap_covering_uncovering.ogg
foley,cassette tape button,https://actions.google.com/sounds/v1/foley/cassette_tape_button.ogg
foley,cassette tape motor,https://actions.google.com/sounds/v1/foley/cassette_tape_motor.ogg
foley,cassette tape play,https://actions.google.com/sounds/v1/foley/cassette_tape_play.ogg
foley,cassette tape rewind,https://actions.google.com/sounds/v1/foley/cassette_tape_rewind.ogg
foley,chain on metal post,https://actions.google.com/sounds/v1/foley/chain_on_metal_post.ogg
foley,change drop on wood,https://actions.google.com/sounds/v1/foley/change_drop_on_wood.ogg
foley,child toy chime clinck and clanks,https://actions.google.com/sounds/v1/foley/child_toy_chime_clinck_and_clanks.ogg
foley,chopping in forest,https://actions.google.com/sounds/v1/foley/chopping_in_forest.ogg
foley,clean up spill,https://actions.google.com/sounds/v1/foley/clean_up_spill.ogg
foley,climbing stairs,https://actions.google.com/sounds/v1/foley/climbing_stairs.ogg
foley,clip,https://actions.google.com/sounds/v1/foley/clip.ogg
foley,coins shuffling,https://actions.google.com/sounds/v1/foley/coins_shuffling.ogg
foley,cork in out bottle squeek series,https://actions.google.com/sounds/v1/foley/cork_in_out_bottle_squeek_series.ogg
foley,cotton rip,https://actions.google.com/sounds/v1/foley/cotton_rip.ogg
